TURNO	Data e Hora	PNP	Detalhes PNP	Observação PNP	Mista 2	Mista 3	CCME 	Buffer	Contagem	3AB	RETRABALHO	Campos e Tarefas	Rim   	Observação Geral	Qtd.linhas
TURNO 3	11/09/2025 06:01:37	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com paletes pendente de separação, e direciona para FIFOS.	Controlado. Com paletes pendente de separação, e direciona para FIFOS.	Atuamos controlado.	Controlado.	Contamos 9 itens.   Lista com 13 itens para o 1° turno atuar.	Atuamos. Com paletes pendente de armazenagem.	340740: Abastecido parcialmente(Paletes na Zona mista solicitado desbloqueio) 340763: Abastecido / 340764:Separado.	47585,98		Atuamos nas demanda do piso.   Necessário mapear oportunidades de itens para baixa de saldo e liberação para contagem	Hidro: 7, Cremes: 10
TURNO 1	12/09/2025 14:13:51	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado, piso parcialmente	Atuamos e controlado. Material sem saldo, planilhado. ( Pendente apenas 1 fileira )	Controlado	Contamos 12 itens! ( Liberados pendente de armazenar ) Lista pronta para 2º turno;	Controlado	340740: Abastecido parcialmente /  340764:Separado(palete no FIFO da H01)	-	Sem demanda.	C10 ruído na comunicação do repack, PNP não é da responsabilidade de Logística.  Dificuldade na disponibilidade de gaiolas vazia.	Hidro: 8, Cremes: 10
TURNO 2	12/09/2025 22:04:20	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com demanda controlada	Esteira e piso com demanda controlada	Atuamos, piso com a alta demanda para tratativa	Abastecido e organizado	12 itens de ME contados no 2T, em processo de armazenagem Lista com 7 itens de PA para o 3T atuar	Portas com demanda zerada, sem pendências	Ordem 340740 - Em abastecimento	Sem informação	Sem demanda	Ordens de retrabalho em descida para atuação no 3T  Transformação de Cremes e Ordens da parada do SAP	Hidro: 9, Cremes: 11
TURNO 3	12/09/2025 06:15:14	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com material pendente de separação , e movimentação para os FIFOS .	Controlado. Com material pendente de separação , e movimentação para os FIFOS .	Atuamos controlado.	Controlado.	Cotamos 1 item.   10 itens no piso pendente de contagem e 8 itens pendente de solicitação para o 1° turno.	Controlado.	340740: Abastecido parcialmente, paletes pendentes de abastecimento na zona mista 340762 - 4000219892 Aguardando desbloqueio da qualidade.  Ordem de retrabalho: 1615820 - OP Separada no piso da Separação.	56567,98		Dificuldade com HC, o que impactou no desempenho de contagem.	Hidro: 7, Cremes: 10
TURNO 1	13/09/2025 14:09:37	Sem PNP Creme / Hidro	N/A	N/A	Alta demanda		Controlado. Atuação na reintegração de  R$ 24.112,19 do saldo sep	Ambos abastecidos	18 itens contados, lista deixada para 2t atuar	Controlado para 3 portas	340713 - 774043 - LINDA DES COL 100ml  - 70700000110972 no fifo h9 / aguardando separação         340714 - 83971 - LILY DES COL LEAU DE 75ml - 765758536 no fifo h9 /  aguardando separação         340705 - 47950 - ZAAD EDP 95ml V6 - 997138397- no fifo h9 /  aguardando separação         340716 - 50651- ARBO DES COL INT 100ml - 702419430 EM DESCIDA 340740 - dois pallets liberados pela qualidade, aguardando separação Complementar de 10kg do retrabalho  340519 - em descida  RETRABALHO CREMES  340729 - 4000127729 - liberado pela qualidade, aguardando separação         340730 - 4000111603 - liberado pela qualidade, aguardando separação         340735 - 4000233657 4000233706 - liberado pela qualidade, aguardando separação         340731 - 4000061643 -  liberado pela qualidade, aguardando separação	Atuação em 2 tarefas pendentes acima de 2 dias	Sem solicitação	Retrabalhos de Hidro NO FIFO da H09	Hidro: 8, Cremes: 11
TURNO 2	13/09/2025 22:03:50	Sem PNP Creme / Hidro	N/A	N/A	Material para separação e alocação nos FIFO	Material pendente separação e alocação nos fifos	Controlado  28 pal. reintegrados  08 aguardando inserção no trans;  03 para novo armazém	Abastecido	16 itens contados; Lista com 10 itens para o 1T	Controlado para as 3 portas	Hidro - ordens ref. Parada do Sap abastecidas  Cremes - Ordens ref. Parada são abastecidas	Sem informações	N/A	H9 - 1616219 item limitante A4 - liberafonpela qualidade as 21:50 inviabilizando a separação temos apenas 2.736 pc separadas	Hidro: 7, Cremes: 10
TURNO 1	14/09/2025 14:08:37	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado, passivo de materiais da c2 a serem movimentados para kanban	Controlado para as duas fabricas	Ambos abastecidos, buffer de cremes com oportunidade em caixa 52	!7 itens de contagem aguardando liberação	controlado para as 3 portas	sem solicitação		sem solicitação	Não houve solicitações de abastecimento para retrabalho. Zona mista3 com pallets da ordem de transformação -  1616822	Hidro: 8, Cremes: 12
TURNO 2	14/09/2025 21:59:39	Sem PNP Creme / Hidro	N/A	N/A	Materiais pendente separação e distribuição nos fifos	Material pendente separação e distribuição nos fifos	Controlado 27 paetês reintegrados 17 aguardando criação de saldo	Abastecidos.	Piso com 18 itens aguardando desbloqueio. Não houve atuação	Controlado	N/A	Sem informações.	Sem demanda	Dificuldade com Gaiolas	Hidro: N/S, Cremes: 10
TURNO 3	14/09/2025 06:09:47	Sem PNP Creme / Hidro	N/A	N/A	Controlado.  Com material pendente de separação e envio para os FIFOS.	Controlado.  Com material pendente de separação e envio para os FIFOS.	Atuamos, controlado.	Controlado.	Não atuamos devido ao piso cheio, aguardado a liberação.	Atuamos controlado.		45675,9			Hidro: 7, Cremes: 10
TURNO 1	15/09/2025 15:05:39	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Controlado e atuamos na atribuição de saldos.	Controle	Contamos 12 itens. Lista pronta para 2º turno com 10 itens.	Controle	- Hidro Ordem de retrabalho: 1615820 - OP Separada no piso da Separação. Ordem de transformação  1616822 na zona mista - Parcialmente abastecida - Material ao lado do CCME. Ordem de retrabalho 340744 ultimo pallet na zona mista. - Cremes  340740 abastecida	Atuação de 10 itens de hidro - R$ 15.5984,9	Sem Demanda.	Em Processo de pintura da faixa de pedestre para zona mista de hidro. Tivemos a auditória interna da área.	Hidro: 9, Cremes: 12
TURNO 2	15/09/2025 22:09:07	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	24 pallets reintegrados. 02 pallet  aguardando para ser inserido trans . 8 pallets no aguardo criação de saldo para tratativa de Ccme. 03 pallets aos cuidados engenharia de produtos.	Abastecido e organizado	Contamos 8 itens de ME 2 itens pendente de contagem no piso Lista para o 3T com 10 itens de ME - 80 Paletes 5 itens e 26 paletes em descida	Expansão e porta de Hidros controlada Porta de cremes com alto passivo de paletes aguardando finalização do apontamento (sem tarefa para o transelevador)	Sem demanda	Hidros - 16 ITENS R$ 231.734,67 Ranger: 0 > 5, 6 > 15, 16 > 30 e > 30  Cremes - 8 ITENS R$81,185,28  Edvan - 13 ITENS  R$ 9.398,81	Sem demanda	Alto passivo na porta de cremes devido a morosidade na liberação dos paletes de retrabalho Existem paletes liberados sem TD para o armazém (Risco de armazenar paletes sem retrabalho desbloqueados)	Hidro: 9, Cremes: 11
TURNO 3	15/09/2025 06:03:27	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com paletes pendente de separação e envio para os FIFOS.	Controlado. Com paletes pendente de separação e envio para os FIFOS.	Atuamos controlado.	Controlado.	Contamos 6 tens, estão no piso aguardado liberação.   Lista com 10 itens para o 1° turno.	Controlado.	340740 abastecida .  Ordem de retrabalho 340744 ultimo pallet na zona mista	68987,09			Hidro: 9, Cremes: 12
TURNO 1	16/09/2025 14:01:50	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado	Controlado, atuamos nos materiais sem saldos. ( Solicitamos e atribuímos )	Controlado.	Contamos 15 itens. Lista pronta para 2º turno deixada pelo 3º turno.	Controlado.	HIDRO - 340704 Pendente de abastecimento, material  separado na área mista . CREMES - Ordem de transformação  1616822 - Em abastecimento - Material no FIFO da C4. Ordem de retrabalho 340744 ultimo pallet na zona mista.	19 itens, no total R$ 104.000,33 prd 3 > 30. Zerado de recursos presos da separação 1º turno.	Sem Demanda.	.	Hidro: 9, Cremes: 11
TURNO 2	16/09/2025 21:59:43	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com demanda controlada (descendo paletes de tampa do clash para validação)	Esteira e piso com baixa demanda	17 pallets reintegrados. 01 pallet  aguardando para ser inserido trans . 03 pallets aos cuidados engenharia de produtos. 03 pallets planilhados aguardando criação de saldo para tratativa.  01 pallet filme sem identificação  01 pallet itens sem identificação  01 pallets para criação de saldo(chegou agora final do turno )	Abastecido e organizado	Contamos 4 itens da lista com 6 deixada pelo 1T Lista para o 3T com 10 itens - 5 PA e 5 ME	Portas controladas - Passivo de retrabalho na portas de cremes puxada para retrabalho em Hidros	Sem demanda	Edvan - 4 ITENS R$32.220,50 Cremes -  Hidros -	Sem demanda	Atuamos na reorganização e identificação dos paletes da área de tratativas 10 paletes compactados, transformados em 4 ✅	Hidro: 9, Cremes: 11
TURNO 3	16/09/2025 06:13:26	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Com paletes pendente de separação e aloca nos FIFOS.	Controlado. Com paletes pendente de separação e aloca nos FIFOS.	Atuamos controlado.	Controlado.	8 itens contados 40 Paletes, pendentes de liberação.  7 itens para o 1° turno atuar.	Atuamos controlado.	340704 - Abastecimento pendente de alguns paletes. Não foi solicitado	10 / 30 Dias.  R$ 110.656,35			Hidro: 7, Cremes: 10
